C1,C2,C3,C4,C5,C6,C7,C8
Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,symptom,Description,Doctor
Dori allergiyasi,Darhol dorini qabul qilishni to‘xtatish,Eng yaqin shifoxonaga murojaat qilish,Antigistamin dori vositasini ichish,Dori qabul qilishdan oldin har doim vrach bilan maslahatlashish," stomach_pain,  skin_rash,  burning_micturition, itching,  spotting_ urination",An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs.,Immunolog
Bezgak,Isitmani tushirish uchun sovuq kompress yoki paratsetamol qabul qilish ,Shifokorga murojaat qilish va qon testini topshirish ,Tunda moskit to‘rida uxlash,Chivinlarga qarshi spreydan foydalanish," headache,  high_fever,  sweating,  chills,  muscle_pain,  vomiting,  diarrhoea,  nausea",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,Yuqumli kasalliklar bo'yicha mutaxassis
Allergiya,Kalaminni qo'llash,Qichishishni kamaytirish uchun muzdan foydalanish,Ta’sirlangan joyni bandaj bilan yopish,Allergiya testidan o‘tish," watering_from_eyes,  chills,  shivering,  continuous_sneezing","An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",Immunolog
Gipotiroidizm,Shifokor buyurgan dozada levotiroksin dorisini vaqtida ichish,Temir yoki kaltsiy tabletkasini levotiroksindan kamida 4 soat keyin ichish,Yodga boy mahsulotlarni muntazam iste’mol qilish,Qalqonsimon bezni har 6–12 oyda bir marta tekshirtirib borish," cold_hands_and_feets,  dizziness,  weight_gain,  abnormal_menstruation,  lethargy,  swollen_extremeties,  mood_swings,  enlarged_thyroid,  fatigue,  brittle_nails,  puffy_face_and_eyes,  irritability,  depression","Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.",Endokrinolog
Psoriaz,Ta’sirlangan joyga namlovchi krem yoki vazelin surtish,Qichishishni kamaytirish uchun sovuq kompress qo‘yish,Tarkibida S vitamini va Omega-3 bo‘lgan ovqatlar iste’mol qilish,"Stressni boshqarish (meditatsiya, dam olish) bilan shug‘ullanish"," joint_pain,  silver_like_dusting,  skin_rash,  inflammatory_nails,  small_dents_in_nails,  skin_peeling","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.",Dermatolog
GERD,Tik yurish (yotmaslik) orqali kislotaning yuqoriga chiqishini kamaytirish,Ko‘tarilgan yostiqda yotish va yotishdan oldin ovqat yemaslik,sog'lom vaznni saqlash,"Achchiq, yog‘li va nordon ovqatlardan uzoq bo‘lish"," stomach_pain,  chest_pain,  cough,  ulcers_on_tongue,  acidity,  vomiting","Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",Gastroenterolog
Surunkali xolestaz,Qichishishni yengillashtirish uchun sovuq kompress yoki muzli mato qo‘llash,"Yog‘li ovqatlar va qovurilgan taomlarni to‘liq cheklash, faqat bug‘da yoki qaynatilgan taomlar iste’mol qilish",Safro oqimini tabiiy rag‘batlantirish uchun har kuni limonli iliq suv ichish,E vitamini va D vitaminiga boy mahsulotlarni me’yorda iste’mol qilish," yellowing_of_eyes,  yellowish_skin,  abdominal_pain,  loss_of_appetite, itching,  vomiting,  nausea","Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",Gastroenterolog
Gepatit A,Tana haroratini tushirish va ko‘ngil aynishini kamaytirish uchun ko‘proq suyuqlik ichish,Yengil va yog‘siz ovqatlar tanovul qilish,Qo‘lni tez-tez sovunlab yuvish odatini shakllantirish,Toza suv ichish va meva-sabzavotni yaxshilab yuvib iste’mol qilish," dark_urine,  joint_pain,  yellowing_of_eyes,  muscle_pain,  yellowish_skin,  abdominal_pain,  mild_fever,  loss_of_appetite,  vomiting,  diarrhoea,  nausea",Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,Yuqumli kasalliklar bo'yicha mutaxassis
Osteoartrit,Og‘rigan bo‘g‘imga issiq kompress qo‘yish,"Harakatni kamaytirmasdan, yengil cho‘ziluvchan mashqlar bajarish",Tana vaznini nazorat qilish orqali bo‘g‘imga tushadigan bosimni kamaytirish,Mushaklarni mustahkamlovchi muntazam jismoniy mashqlar bajarish," knee_pain,  painful_walking,  neck_pain,  joint_pain,  hip_joint_pain,  swelling_joints","Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",Revmatolog
